SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,E,10,EQUITY,0,ABAN,1,Aban Offshore,,,,1,NA,ES,EQ,ABAN OFFSHORE LTD.
NSE,E,100,EQUITY,0,ARE&M,1,Amara Raja Energy & Mobility,,,,5,NA,ES,EQ,AMARA RAJA ENERGY MOB LTD
NSE,E,1000,EQUITY,0,656MH32,100,SDL MH 6.56% 2032,,,,1,NA,DBT,SG,SDL MH 6.56% 2032
NSE,E,1001,EQUITY,0,94SFL28,1,SEC RED NCD 9.40% SR. V,,,,1,NA,DEB,YL,SEC RED NCD 9.40% SR. V
NSE,E,1004,EQUITY,0,679AP34,100,SDL AP 6.79% 2034,,,,1,NA,DBT,SG,SDL AP 6.79% 2034
NSE,E,10046,EQUITY,0,757GS2033,1,GOI LOAN 7.57% 2033,,,,1,NA,DBT,GS,GOI LOAN 7.57% 2033
NSE,E,10051,EQUITY,0,SFMP6DD,1,SBIAMC - SFMP6DD,,,,1,NA,MF,MF,SBIAMC - SFMP6DD
NSE,E,10052,EQUITY,0,SFMP6DR,1,SBIAMC - SFMP6DR,,,,1,NA,MF,MF,SBIAMC - SFMP6DR
NSE,E,10055,EQUITY,0,SFMP6GD,1,SBIAMC - SFMP6GD,,,,1,NA,MF,MF,SBIAMC - SFMP6GD
NSE,E,10056,EQUITY,0,SKMEGGPROD,1,SKM Egg Products Export,,,,5,NA,ES,BE,SKM EGG PROD-ROLL SETT
NSE,E,1006,EQUITY,0,675KA35,100,SDL KA 6.75% 2035,,,,1,NA,DBT,SG,SDL KA 6.75% 2035
